Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
1. Two Sum,Easy,27.7M,15M,54.1%,58.6K,1.1K,"array, hash-table"
2. Add Two Numbers,Medium,11.5M,5.1M,44.4%,31.9K,694,"linked-list, math, recursion"
3. Longest Substring Without Repeating Characters,Medium,18.2M,6.5M,35.6%,40.5K,422,"hash-table, string, sliding-window"
4. Median of Two Sorted Arrays,Hard,7M,2.9M,41.8%,28.9K,522,"array, binary-search, divide-and-conquer"
5. Longest Palindromic Substring,Medium,9.8M,3.4M,34.6%,29.8K,348,"two-pointers, string, dynamic-programming"
6. Zigzag Conversion,Medium,3M,1.5M,49.6%,7.9K,322,string
7. Reverse Integer,Medium,12.2M,3.6M,29.3%,13.4K,420,math
8. String to Integer (atoi),Medium,9.5M,1.7M,18.1%,4.8K,579,string
9. Palindrome Number,Easy,9.3M,5.4M,57.8%,13.1K,453,math
10. Regular Expression Matching,Hard,3.7M,1M,28.5%,12.3K,376,"string, dynamic-programming, recursion"
11. Container With Most Water,Medium,6.1M,3.4M,56.4%,29.8K,380,"array, two-pointers, greedy"
12. Integer to Roman,Medium,2.2M,1.5M,66.6%,7.4K,97,"hash-table, math, string"
13. Roman to Integer,Easy,6.6M,4.2M,63.0%,14.8K,348,"hash-table, math, string"
14. Longest Common Prefix,Easy,8.7M,3.9M,44.1%,18.1K,366,"string, trie"
15. 3Sum,Medium,11.3M,4M,35.6%,31.5K,466,"array, two-pointers, sorting"
16. 3Sum Closest,Medium,2.9M,1.3M,46.2%,10.6K,104,"array, two-pointers, sorting"
17. Letter Combinations of a Phone Number,Medium,3.6M,2.3M,62.1%,19K,205,"hash-table, string, backtracking"
18. 4Sum,Medium,2.9M,1.1M,36.9%,11.6K,221,"array, two-pointers, sorting"
19. Remove Nth Node From End of List,Medium,6.5M,3.1M,47.0%,19.2K,205,"linked-list, two-pointers"
20. Valid Parentheses,Easy,12.7M,5.2M,41.2%,24.6K,421,"string, stack"
21. Merge Two Sorted Lists,Easy,7.1M,4.6M,65.5%,22.3K,345,"linked-list, recursion"
22. Generate Parentheses,Medium,2.7M,2M,75.7%,21.5K,132,"string, dynamic-programming, backtracking"
23. Merge k Sorted Lists,Hard,4M,2.2M,54.5%,19.8K,209,"linked-list, divide-and-conquer, heap-priority-queue, merge-sort"
24. Swap Nodes in Pairs,Medium,2.3M,1.5M,65.6%,12.1K,93,"linked-list, recursion"
25. Reverse Nodes in k-Group,Hard,1.7M,1.1M,60.8%,14K,138,"linked-list, recursion"
26. Remove Duplicates from Sorted Array,Easy,8.9M,5.2M,58.1%,15.3K,687,"array, two-pointers"
27. Remove Element,Easy,6M,3.5M,58.5%,3K,556,"array, two-pointers"
28. Find the Index of the First Occurrence in a String,Easy,6.5M,2.8M,43.7%,6.2K,290,"two-pointers, string, string-matching"
29. Divide Two Integers,Medium,4.6M,826.5K,17.8%,5.3K,260,"math, bit-manipulation"
30. Substring with Concatenation of All Words,Hard,1.5M,502.3K,32.5%,2K,162,"hash-table, string, sliding-window"
31. Next Permutation,Medium,3.7M,1.5M,41.4%,18.8K,249,"array, two-pointers"
32. Longest Valid Parentheses,Hard,2.3M,806.2K,35.0%,12.5K,74,"string, dynamic-programming, stack"
33. Search in Rotated Sorted Array,Medium,7.4M,3.1M,41.7%,26.8K,268,"array, binary-search"
34. Find First and Last Position of Element in Sorted Array,Medium,5.1M,2.3M,45.4%,20.9K,214,"array, binary-search"
35. Search Insert Position,Easy,6.9M,3.3M,47.5%,16.6K,210,"array, binary-search"
36. Valid Sudoku,Medium,2.8M,1.7M,60.8%,11K,154,"array, hash-table, matrix"
37. Sudoku Solver,Hard,1.1M,665.9K,63.2%,9.7K,90,"array, hash-table, backtracking, matrix"
38. Count and Say,Medium,1.8M,1M,56.8%,4.1K,147,string
39. Combination Sum,Medium,3M,2.2M,73.0%,19.2K,107,"array, backtracking"
40. Combination Sum II,Medium,2.1M,1.2M,56.6%,11.1K,142,"array, backtracking"
41. First Missing Positive,Hard,3.3M,1.3M,40.1%,17.1K,287,"array, hash-table"
42. Trapping Rain Water,Hard,3.8M,2.4M,63.4%,32.7K,303,"array, two-pointers, dynamic-programming, stack, monotonic-stack"
43. Multiply Strings,Medium,2.1M,870.1K,41.2%,7.2K,132,"math, string, simulation"
44. Wildcard Matching,Hard,2.2M,635.9K,28.8%,8.4K,89,"string, dynamic-programming, greedy, recursion"
45. Jump Game II,Medium,3.6M,1.5M,40.8%,14.9K,160,"array, dynamic-programming, greedy"
46. Permutations,Medium,2.9M,2.3M,79.5%,19.4K,112,"array, backtracking"
47. Permutations II,Medium,1.7M,1M,60.3%,8.6K,39,"array, backtracking"
48. Rotate Image,Medium,2.6M,2M,76.2%,18K,175,"array, math, matrix"
49. Group Anagrams,Medium,4.7M,3.3M,69.6%,19.6K,225,"array, hash-table, string, sorting"
"50. Pow(x, n)",Medium,5.3M,1.9M,35.8%,10.1K,352,"math, recursion"
51. N-Queens,Hard,1.2M,829.4K,70.4%,12.7K,97,"array, backtracking"
52. N-Queens II,Hard,573.3K,431K,75.2%,3.9K,58,backtracking
53. Maximum Subarray,Medium,8.5M,4.4M,51.3%,34.6K,278,"array, divide-and-conquer, dynamic-programming"
54. Spiral Matrix,Medium,3.2M,1.6M,51.7%,15.2K,166,"array, matrix, simulation"
55. Jump Game,Medium,5.7M,2.2M,38.8%,19.8K,252,"array, dynamic-programming, greedy"
56. Merge Intervals,Medium,5.6M,2.7M,48.1%,22.6K,143,"array, sorting"
57. Insert Interval,Medium,3M,1.3M,42.4%,10.6K,263,array
58. Length of Last Word,Easy,4.3M,2.3M,54.1%,5.4K,333,string
59. Spiral Matrix II,Medium,867.7K,627.5K,72.3%,6.5K,56,"array, matrix, simulation"
60. Permutation Sequence,Hard,894.8K,432.6K,48.3%,6.8K,48,"math, recursion"
61. Rotate List,Medium,2.8M,1.1M,38.8%,9.9K,82,"linked-list, two-pointers"
62. Unique Paths,Medium,3.2M,2M,64.9%,16.9K,151,"math, dynamic-programming, combinatorics"
63. Unique Paths II,Medium,2.5M,1.1M,42.3%,8.9K,111,"array, dynamic-programming, matrix"
64. Minimum Path Sum,Medium,2M,1.3M,65.2%,12.7K,110,"array, dynamic-programming, matrix"
65. Valid Number,Hard,1.9M,396.1K,20.5%,1.3K,151,string
66. Plus One,Easy,5.5M,2.5M,46.4%,9.7K,252,"array, math"
67. Add Binary,Easy,3M,1.6M,54.5%,9.6K,170,"math, string, bit-manipulation, simulation"
68. Text Justification,Hard,1M,470K,45.6%,3.8K,129,"array, string, simulation"
69. Sqrt(x),Easy,5.6M,2.2M,39.5%,8.4K,244,"math, binary-search"
70. Climbing Stairs,Easy,6.9M,3.7M,53.2%,22.4K,370,"math, dynamic-programming, memoization"
71. Simplify Path,Medium,2M,881.7K,44.7%,5.8K,130,"string, stack"
72. Edit Distance,Medium,1.7M,989.5K,57.5%,15.1K,111,"string, dynamic-programming"
73. Set Matrix Zeroes,Medium,2.9M,1.7M,57.8%,14.9K,118,"array, hash-table, matrix"
74. Search a 2D Matrix,Medium,4M,2M,51.2%,16.1K,199,"array, binary-search, matrix"
75. Sort Colors,Medium,3.7M,2.4M,65.3%,18.9K,312,"array, two-pointers, sorting"
76. Minimum Window Substring,Hard,3.4M,1.5M,43.9%,18.2K,207,"hash-table, string, sliding-window"
77. Combinations,Medium,1.4M,993.7K,71.5%,8.3K,81,backtracking
78. Subsets,Medium,2.7M,2.2M,79.5%,17.6K,162,"array, backtracking, bit-manipulation"
79. Word Search,Medium,4.2M,1.8M,43.8%,16.1K,233,"array, string, backtracking, matrix"
80. Remove Duplicates from Sorted Array II,Medium,2M,1.2M,60.6%,7.2K,132,"array, two-pointers"
81. Search in Rotated Sorted Array II,Medium,2.2M,828.8K,38.3%,8.7K,127,"array, binary-search"
82. Remove Duplicates from Sorted List II,Medium,1.7M,815.2K,48.5%,9K,69,"linked-list, two-pointers"
83. Remove Duplicates from Sorted List,Easy,3.2M,1.7M,53.6%,8.9K,88,linked-list
84. Largest Rectangle in Histogram,Hard,2.2M,1M,45.7%,17.6K,143,"array, stack, monotonic-stack"
85. Maximal Rectangle,Hard,1M,533.8K,52.0%,10.8K,143,"array, dynamic-programming, stack, matrix, monotonic-stack"
86. Partition List,Medium,1.2M,685.6K,57.5%,7.4K,114,"linked-list, two-pointers"
87. Scramble String,Hard,597K,244.6K,41.0%,3.4K,81,"string, dynamic-programming"
88. Merge Sorted Array,Easy,7.4M,3.8M,51.3%,15.6K,606,"array, two-pointers, sorting"
89. Gray Code,Medium,528K,318.5K,60.3%,2.3K,41,"math, backtracking, bit-manipulation"
90. Subsets II,Medium,1.8M,1M,58.3%,9.9K,91,"array, backtracking, bit-manipulation"
91. Decode Ways,Medium,3.8M,1.3M,35.6%,12.1K,229,"string, dynamic-programming"
92. Reverse Linked List II,Medium,2M,962.8K,48.5%,11.8K,135,linked-list
93. Restore IP Addresses,Medium,956.7K,491.3K,51.4%,5.3K,72,"string, backtracking"
94. Binary Tree Inorder Traversal,Easy,3.6M,2.8M,77.3%,13.7K,175,"stack, tree, depth-first-search, binary-tree"
95. Unique Binary Search Trees II,Medium,809.3K,476.9K,58.9%,7.6K,64,"dynamic-programming, backtracking, tree, binary-search-tree, binary-tree"
96. Unique Binary Search Trees,Medium,1.1M,705.6K,61.7%,10.5K,45,"math, dynamic-programming, tree, binary-search-tree, binary-tree"
97. Interleaving String,Medium,1.4M,575.5K,40.8%,8.3K,98,"string, dynamic-programming"
98. Validate Binary Search Tree,Medium,7.6M,2.6M,33.6%,17.1K,192,"tree, depth-first-search, binary-search-tree, binary-tree"
99. Recover Binary Search Tree,Medium,902.2K,492.1K,54.5%,8K,49,"tree, depth-first-search, binary-search-tree, binary-tree"
100. Same Tree,Easy,3.8M,2.4M,63.6%,11.8K,171,"tree, depth-first-search, breadth-first-search, binary-tree"
101. Symmetric Tree,Easy,3.8M,2.2M,57.8%,15.5K,166,"tree, depth-first-search, breadth-first-search, binary-tree"
102. Binary Tree Level Order Traversal,Medium,3.6M,2.5M,68.8%,15.6K,97,"tree, breadth-first-search, binary-tree"
103. Binary Tree Zigzag Level Order Traversal,Medium,2.2M,1.3M,60.2%,11K,119,"tree, breadth-first-search, binary-tree"
104. Maximum Depth of Binary Tree,Easy,4.6M,3.5M,76.3%,13.1K,145,"tree, depth-first-search, breadth-first-search, binary-tree"
105. Construct Binary Tree from Preorder and Inorder Traversal,Medium,2.1M,1.4M,65.3%,15.3K,136,"array, hash-table, divide-and-conquer, tree, binary-tree"
106. Construct Binary Tree from Inorder and Postorder Traversal,Medium,1.1M,710K,64.6%,8.1K,71,"array, hash-table, divide-and-conquer, tree, binary-tree"
107. Binary Tree Level Order Traversal II,Medium,1.1M,684.5K,64.6%,4.9K,33,"tree, breadth-first-search, binary-tree"
108. Convert Sorted Array to Binary Search Tree,Easy,1.8M,1.3M,72.8%,11.1K,103,"array, divide-and-conquer, tree, binary-search-tree, binary-tree"
109. Convert Sorted List to Binary Search Tree,Medium,884K,556.6K,63.0%,7.5K,52,"linked-list, divide-and-conquer, tree, binary-search-tree, binary-tree"
110. Balanced Binary Tree,Easy,3.2M,1.7M,53.7%,10.9K,118,"tree, depth-first-search, binary-tree"
111. Minimum Depth of Binary Tree,Easy,2.6M,1.3M,49.2%,7.4K,91,"tree, depth-first-search, breadth-first-search, binary-tree"
112. Path Sum,Easy,3.1M,1.6M,51.6%,9.9K,94,"tree, depth-first-search, breadth-first-search, binary-tree"
113. Path Sum II,Medium,1.6M,925.1K,59.4%,8.1K,46,"backtracking, tree, depth-first-search, binary-tree"
114. Flatten Binary Tree to Linked List,Medium,1.6M,1.1M,66.7%,12.5K,83,"linked-list, stack, tree, depth-first-search, binary-tree"
115. Distinct Subsequences,Hard,957.7K,465.2K,48.6%,6.8K,113,"string, dynamic-programming"
116. Populating Next Right Pointers in Each Node,Medium,1.7M,1.1M,63.9%,9.8K,68,"linked-list, tree, depth-first-search, breadth-first-search, binary-tree"
117. Populating Next Right Pointers in Each Node II,Medium,1.3M,680.1K,53.9%,5.9K,61,"linked-list, tree, depth-first-search, breadth-first-search, binary-tree"
118. Pascal's Triangle,Easy,2.5M,1.9M,75.6%,13.2K,153,"array, dynamic-programming"
119. Pascal's Triangle II,Easy,1.5M,954.8K,64.9%,4.9K,69,"array, dynamic-programming"
120. Triangle,Medium,1.5M,860.4K,57.9%,9.7K,108,"array, dynamic-programming"
121. Best Time to Buy and Sell Stock,Easy,10M,5.4M,54.3%,31.7K,427,"array, dynamic-programming"
122. Best Time to Buy and Sell Stock II,Medium,3.2M,2.2M,67.9%,13.9K,247,"array, dynamic-programming, greedy"
123. Best Time to Buy and Sell Stock III,Hard,1.4M,682.3K,49.4%,9.8K,77,"array, dynamic-programming"
124. Binary Tree Maximum Path Sum,Hard,3.4M,1.4M,40.5%,16.9K,184,"dynamic-programming, tree, depth-first-search, binary-tree"
125. Valid Palindrome,Easy,7.2M,3.5M,49.0%,9.7K,290,"two-pointers, string"
126. Word Ladder II,Hard,1.4M,383K,27.1%,6.1K,67,"hash-table, string, backtracking, breadth-first-search"
127. Word Ladder,Hard,2.9M,1.2M,40.7%,12.3K,152,"hash-table, string, breadth-first-search"
128. Longest Consecutive Sequence,Medium,4.4M,2.1M,47.5%,20.5K,261,"array, hash-table, union-find"
129. Sum Root to Leaf Numbers,Medium,1.4M,968.3K,67.0%,8.1K,130,"tree, depth-first-search, binary-tree"
130. Surrounded Regions,Medium,2M,811.3K,41.0%,8.8K,162,"array, depth-first-search, breadth-first-search, union-find, matrix"
131. Palindrome Partitioning,Medium,1.4M,985.8K,70.5%,13.1K,153,"string, dynamic-programming, backtracking"
132. Palindrome Partitioning II,Hard,890.1K,306.4K,34.4%,5.5K,57,"string, dynamic-programming"
133. Clone Graph,Medium,2.3M,1.4M,59.5%,9.7K,158,"hash-table, depth-first-search, breadth-first-search, graph"
134. Gas Station,Medium,2M,930.3K,45.6%,12.2K,204,"array, greedy"
135. Candy,Hard,1.4M,624.4K,43.9%,8.1K,254,"array, greedy"
136. Single Number,Easy,4.3M,3.2M,74.4%,16.8K,172,"array, bit-manipulation"
137. Single Number II,Medium,1M,656.1K,64.0%,8.1K,125,"array, bit-manipulation"
138. Copy List with Random Pointer,Medium,2.4M,1.4M,58.1%,14.1K,174,"hash-table, linked-list"
139. Word Break,Medium,3.9M,1.8M,47.4%,17.5K,168,"array, hash-table, string, dynamic-programming, trie, memoization"
140. Word Break II,Hard,1.3M,695.4K,52.1%,7.3K,150,"array, hash-table, string, dynamic-programming, backtracking, trie, memoization"
141. Linked List Cycle,Easy,6.6M,3.4M,51.3%,15.8K,303,"hash-table, linked-list, two-pointers"
142. Linked List Cycle II,Medium,2.7M,1.4M,52.9%,13.8K,160,"hash-table, linked-list, two-pointers"
143. Reorder List,Medium,1.8M,1.1M,60.4%,11.3K,165,"linked-list, two-pointers, stack, recursion"
144. Binary Tree Preorder Traversal,Easy,2.5M,1.8M,71.2%,8.1K,78,"stack, tree, depth-first-search, binary-tree"
145. Binary Tree Postorder Traversal,Easy,2M,1.4M,73.8%,7.2K,94,"stack, tree, depth-first-search, binary-tree"
146. LRU Cache,Medium,4.2M,1.8M,43.5%,21.1K,230,"hash-table, linked-list, design, doubly-linked-list"
147. Insertion Sort List,Medium,719.3K,394.6K,54.9%,3.2K,31,"linked-list, sorting"
148. Sort List,Medium,1.5M,897.5K,59.8%,11.9K,98,"linked-list, two-pointers, divide-and-conquer, sorting, merge-sort"
149. Max Points on a Line,Hard,1.5M,422.9K,27.7%,4.2K,180,"array, hash-table, math, geometry"
150. Evaluate Reverse Polish Notation,Medium,2.3M,1.2M,53.0%,7.8K,299,"array, math, stack"
151. Reverse Words in a String,Medium,4M,1.9M,47.2%,8.8K,202,"two-pointers, string"
152. Maximum Product Subarray,Medium,4.2M,1.4M,34.1%,18.8K,221,"array, dynamic-programming"
153. Find Minimum in Rotated Sorted Array,Medium,4M,2.1M,51.5%,13.6K,165,"array, binary-search"
154. Find Minimum in Rotated Sorted Array II,Hard,1.1M,483.4K,43.8%,4.7K,73,"array, binary-search"
155. Min Stack,Medium,3.4M,1.9M,55.2%,14.4K,138,"stack, design"
160. Intersection of Two Linked Lists,Easy,2.9M,1.7M,59.2%,15.2K,144,"hash-table, linked-list, two-pointers"
162. Find Peak Element,Medium,3.5M,1.6M,46.1%,12.5K,249,"array, binary-search"
164. Maximum Gap,Medium,500.3K,237.9K,47.5%,3.3K,54,"array, sorting, bucket-sort, radix-sort"
165. Compare Version Numbers,Medium,1.2M,518.1K,41.5%,2.7K,154,"two-pointers, string"
166. Fraction to Recurring Decimal,Medium,935.1K,238.5K,25.5%,2.1K,35,"hash-table, math, string"
167. Two Sum II - Input Array Is Sorted,Medium,3.7M,2.3M,62.3%,12K,206,"array, two-pointers, binary-search"
168. Excel Sheet Column Title,Easy,1.4M,568.3K,41.9%,5.6K,99,"math, string"
169. Majority Element,Easy,5.3M,3.5M,65.3%,19.8K,291,"array, hash-table, divide-and-conquer, sorting, counting"
171. Excel Sheet Column Number,Easy,1.1M,732K,64.7%,4.8K,30,"math, string"
172. Factorial Trailing Zeroes,Medium,1.1M,496.6K,43.9%,3.3K,51,math
173. Binary Search Tree Iterator,Medium,1.2M,856.5K,73.3%,8.7K,46,"stack, tree, design, binary-search-tree, binary-tree, iterator"
174. Dungeon Game,Hard,619.7K,239.3K,38.6%,5.9K,47,"array, dynamic-programming, matrix"
175. Combine Two Tables,Easy,1.5M,1.1M,76.9%,3.6K,94,database
176. Second Highest Salary,Medium,2.3M,979.6K,42.0%,3.7K,261,database
177. Nth Highest Salary,Medium,1.1M,431.8K,38.0%,2K,156,database
178. Rank Scores,Medium,678K,431.6K,63.7%,2.2K,90,database
179. Largest Number,Medium,1.6M,654.7K,40.2%,8.9K,180,"array, string, greedy, sorting"
180. Consecutive Numbers,Medium,1M,446.5K,44.3%,2.2K,172,database
181. Employees Earning More Than Their Managers,Easy,1M,711.1K,70.5%,2.7K,67,database
182. Duplicate Emails,Easy,1M,738.6K,71.7%,2.1K,74,database
183. Customers Who Never Order,Easy,1.3M,887.4K,69.8%,2.7K,117,database
184. Department Highest Salary,Medium,805.9K,427K,53.0%,2.1K,83,database
185. Department Top Three Salaries,Hard,708.3K,392.9K,55.5%,2.2K,170,database
187. Repeated DNA Sequences,Medium,816.7K,407.5K,49.9%,3.4K,46,"hash-table, string, bit-manipulation, sliding-window, rolling-hash, hash-function"
188. Best Time to Buy and Sell Stock IV,Hard,1.1M,515.7K,44.9%,7.5K,47,"array, dynamic-programming"
189. Rotate Array,Medium,6.2M,2.6M,41.8%,18.5K,433,"array, math, two-pointers"
190. Reverse Bits,Easy,1.5M,881.3K,60.7%,5.2K,86,"divide-and-conquer, bit-manipulation"
191. Number of 1 Bits,Easy,2.2M,1.6M,72.8%,6.6K,163,"divide-and-conquer, bit-manipulation"
192. Word Frequency,Medium,210.9K,55.1K,26.1%,549,28,shell
193. Valid Phone Numbers,Easy,343.7K,90.9K,26.5%,433,38,shell
194. Transpose File,Medium,104.1K,28K,26.9%,150,9,shell
195. Tenth Line,Easy,343.1K,115.7K,33.7%,395,40,shell
196. Delete Duplicate Emails,Easy,963.4K,608.3K,63.1%,1.7K,227,database
197. Rising Temperature,Easy,1.7M,845.2K,49.2%,3.2K,340,database
198. House Robber,Medium,4.9M,2.5M,51.6%,21.4K,240,"array, dynamic-programming"
199. Binary Tree Right Side View,Medium,2.4M,1.5M,64.0%,12.2K,181,"tree, depth-first-search, breadth-first-search, binary-tree"
200. Number of Islands,Medium,5M,3M,60.7%,23.1K,223,"array, depth-first-search, breadth-first-search, union-find, matrix"
201. Bitwise AND of Numbers Range,Medium,888K,420K,47.3%,4.1K,78,bit-manipulation
202. Happy Number,Easy,2.9M,1.6M,57.0%,10.6K,205,"hash-table, math, two-pointers"
203. Remove Linked List Elements,Easy,2.5M,1.2M,50.2%,8.4K,63,"linked-list, recursion"
204. Count Primes,Medium,2.8M,949.7K,34.1%,8.1K,88,"array, math, enumeration, number-theory"
205. Isomorphic Strings,Easy,3.3M,1.5M,45.9%,9.3K,338,"hash-table, string"
206. Reverse Linked List,Easy,6M,4.6M,77.9%,22K,232,"linked-list, recursion"
207. Course Schedule,Medium,3.7M,1.8M,47.7%,16.5K,192,"depth-first-search, breadth-first-search, graph, topological-sort"
208. Implement Trie (Prefix Tree),Medium,1.7M,1.2M,66.6%,11.7K,68,"hash-table, string, design, trie"
209. Minimum Size Subarray Sum,Medium,2.5M,1.2M,48.0%,12.9K,191,"array, binary-search, sliding-window, prefix-sum"
210. Course Schedule II,Medium,2.3M,1.2M,51.7%,11K,64,"depth-first-search, breadth-first-search, graph, topological-sort"
211. Design Add and Search Words Data Structure,Medium,1.5M,694.4K,46.1%,7.7K,84,"string, depth-first-search, design, trie"
212. Word Search II,Hard,1.9M,713.3K,36.7%,9.6K,105,"array, string, backtracking, trie, matrix"
213. House Robber II,Medium,2M,864.4K,42.7%,10K,78,"array, dynamic-programming"
214. Shortest Palindrome,Hard,715.4K,285.2K,39.9%,4.2K,180,"string, rolling-hash, string-matching, hash-function"
215. Kth Largest Element in an Array,Medium,3.9M,2.6M,67.2%,17.4K,237,"array, divide-and-conquer, sorting, heap-priority-queue, quickselect"
216. Combination Sum III,Medium,817.4K,578.2K,70.7%,6.1K,57,"array, backtracking"
217. Contains Duplicate,Easy,7.2M,4.5M,62.3%,12.3K,304,"array, hash-table, sorting"
218. The Skyline Problem,Hard,699K,302K,43.2%,6K,30,"array, divide-and-conquer, binary-indexed-tree, segment-tree, line-sweep, heap-priority-queue, ordered-set"
219. Contains Duplicate II,Easy,2.3M,1.1M,46.8%,6.3K,217,"array, hash-table, sliding-window"
220. Contains Duplicate III,Hard,1.1M,264.4K,23.1%,1.1K,52,"array, sliding-window, sorting, bucket-sort, ordered-set"
221. Maximal Square,Medium,1.6M,737.2K,47.5%,10.3K,51,"array, dynamic-programming, matrix"
222. Count Complete Tree Nodes,Easy,1.2M,829.2K,67.6%,8.8K,99,"binary-search, bit-manipulation, tree, binary-tree"
223. Rectangle Area,Medium,500.3K,233.9K,46.8%,2K,35,"math, geometry"
224. Basic Calculator,Hard,1.2M,513.2K,44.1%,6.4K,104,"math, string, stack, recursion"
225. Implement Stack using Queues,Easy,1.2M,774.2K,65.6%,6.2K,61,"stack, design, queue"
226. Invert Binary Tree,Easy,3M,2.3M,78.0%,14.2K,140,"tree, depth-first-search, breadth-first-search, binary-tree"
227. Basic Calculator II,Medium,1.6M,701K,44.4%,6.2K,68,"math, string, stack"
228. Summary Ranges,Easy,1.3M,662.8K,51.9%,4.1K,102,array
229. Majority Element II,Medium,1.5M,805.3K,52.9%,9.9K,116,"array, hash-table, sorting, counting"
230. Kth Smallest Element in a BST,Medium,2.2M,1.6M,73.9%,11.7K,97,"tree, depth-first-search, binary-search-tree, binary-tree"
231. Power of Two,Easy,3.1M,1.5M,48.0%,7K,182,"math, bit-manipulation, recursion"
232. Implement Queue using Stacks,Easy,1.6M,1M,67.2%,7.8K,109,"stack, design, queue"
233. Number of Digit One,Hard,291.7K,102.2K,35.0%,1.6K,42,"math, dynamic-programming, recursion"
234. Palindrome Linked List,Easy,3.9M,2.1M,54.4%,16.8K,243,"linked-list, two-pointers, stack, recursion"
235. Lowest Common Ancestor of a Binary Search Tree,Medium,2.5M,1.7M,66.4%,11.3K,78,"tree, depth-first-search, binary-search-tree, binary-tree"
236. Lowest Common Ancestor of a Binary Tree,Medium,2.9M,1.8M,64.3%,16.9K,92,"tree, depth-first-search, binary-tree"
237. Delete Node in a Linked List,Medium,1.9M,1.5M,81.0%,5.3K,400,linked-list
238. Product of Array Except Self,Medium,4.6M,3.1M,66.9%,23.1K,356,"array, prefix-sum"
239. Sliding Window Maximum,Hard,2.4M,1.1M,46.9%,18.5K,199,"array, queue, sliding-window, heap-priority-queue, monotonic-queue"
240. Search a 2D Matrix II,Medium,1.9M,1M,53.7%,12.1K,68,"array, binary-search, divide-and-conquer, matrix"
241. Different Ways to Add Parentheses,Medium,457.6K,328.3K,71.7%,6.1K,174,"math, string, dynamic-programming, recursion, memoization"
242. Valid Anagram,Easy,6.2M,4.1M,65.5%,12.4K,220,"hash-table, string, sorting"
257. Binary Tree Paths,Easy,1.2M,786.5K,65.0%,6.7K,59,"string, backtracking, tree, depth-first-search, binary-tree"
258. Add Digits,Easy,1.3M,867.4K,67.2%,4.9K,82,"math, simulation, number-theory"
260. Single Number III,Medium,686.2K,485.7K,70.8%,6.4K,137,"array, bit-manipulation"
262. Trips and Users,Hard,550K,201.5K,36.6%,1.3K,131,database
263. Ugly Number,Easy,1.4M,572.6K,42.2%,3.5K,88,math
264. Ugly Number II,Medium,940.1K,462K,49.1%,6.6K,139,"hash-table, math, dynamic-programming, heap-priority-queue"
268. Missing Number,Easy,3.8M,2.6M,68.4%,12.4K,244,"array, hash-table, math, binary-search, bit-manipulation, sorting"
273. Integer to English Words,Hard,1.5M,513.8K,34.1%,3.6K,268,"math, string, recursion"
274. H-Index,Medium,1.5M,580.9K,39.5%,1.4K,106,"array, sorting, counting-sort"
275. H-Index II,Medium,570.3K,219.6K,38.5%,374,24,"array, binary-search"
278. First Bad Version,Easy,4M,1.8M,45.0%,8.5K,179,"binary-search, interactive"
279. Perfect Squares,Medium,1.6M,899.3K,55.2%,11.3K,101,"math, dynamic-programming, breadth-first-search"
282. Expression Add Operators,Hard,598.8K,242K,40.4%,3.5K,51,"math, string, backtracking"
283. Move Zeroes,Easy,5.5M,3.4M,62.2%,17.1K,206,"array, two-pointers"
284. Peeking Iterator,Medium,378.7K,227.2K,60.0%,1.9K,25,"array, design, iterator"
287. Find the Duplicate Number,Medium,3.1M,1.9M,61.7%,23.6K,316,"array, two-pointers, binary-search, bit-manipulation"
289. Game of Life,Medium,730.8K,513.5K,70.3%,6.4K,54,"array, matrix, simulation"
290. Word Pattern,Easy,1.9M,817.4K,42.5%,7.4K,226,"hash-table, string"
292. Nim Game,Easy,709.8K,407.1K,57.4%,1.8K,58,"math, brainteaser, game-theory"
295. Find Median from Data Stream,Hard,1.7M,875K,52.5%,12.1K,79,"two-pointers, design, sorting, heap-priority-queue, data-stream"
297. Serialize and Deserialize Binary Tree,Hard,1.6M,939K,57.7%,10.3K,72,"string, tree, depth-first-search, breadth-first-search, design, binary-tree"
299. Bulls and Cows,Medium,767.1K,389.1K,50.7%,2.5K,45,"hash-table, string, counting"
300. Longest Increasing Subsequence,Medium,3.3M,1.9M,56.5%,21.2K,180,"array, binary-search, dynamic-programming"
301. Remove Invalid Parentheses,Hard,923.2K,449.1K,48.6%,5.9K,26,"string, backtracking, breadth-first-search"
303. Range Sum Query - Immutable,Easy,913.1K,598.5K,65.6%,3.3K,24,"array, design, prefix-sum"
304. Range Sum Query 2D - Immutable,Medium,698K,386.7K,55.4%,5K,17,"array, design, matrix, prefix-sum"
306. Additive Number,Medium,301.1K,96.5K,32.0%,1.2K,23,"string, backtracking"
307. Range Sum Query - Mutable,Medium,688.7K,284.5K,41.3%,4.8K,34,"array, design, binary-indexed-tree, segment-tree"
309. Best Time to Buy and Sell Stock with Cooldown,Medium,960.4K,569.4K,59.3%,9.5K,61,"array, dynamic-programming"
310. Minimum Height Trees,Medium,946.6K,396.5K,41.9%,8.4K,131,"depth-first-search, breadth-first-search, graph, topological-sort"
312. Burst Balloons,Hard,528K,317.1K,60.1%,9.1K,49,"array, dynamic-programming"
313. Super Ugly Number,Medium,297.8K,135.1K,45.4%,2.2K,30,"array, math, dynamic-programming"
315. Count of Smaller Numbers After Self,Hard,784.9K,334.5K,42.6%,8.9K,34,"array, binary-search, divide-and-conquer, binary-indexed-tree, segment-tree, merge-sort, ordered-set"
