Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
1914. Cyclically Rotating a Grid,Medium,26.5K,13.2K,49.9%,241,4,"array, matrix, simulation"
1915. Number of Wonderful Substrings,Medium,126.7K,84.7K,66.8%,1.7K,142,"hash-table, string, bit-manipulation, prefix-sum"
1916. Count Ways to Build Rooms in an Ant Colony,Hard,16.6K,8.1K,48.8%,493,7,"math, dynamic-programming, tree, graph, topological-sort, combinatorics"
1920. Build Array from Permutation,Easy,643.6K,579.7K,90.1%,3.4K,138,"array, simulation"
1921. Eliminate Maximum Number of Monsters,Medium,218.3K,111.2K,50.9%,1.5K,115,"array, greedy, sorting"
1922. Count Good Numbers,Medium,179.1K,84.3K,47.1%,1.5K,34,"math, recursion"
1923. Longest Common Subpath,Hard,27.9K,8K,28.6%,481,6,"array, binary-search, rolling-hash, suffix-array, hash-function"
1925. Count Square Sum Triples,Easy,71.9K,49.1K,68.3%,428,6,"math, enumeration"
1926. Nearest Exit from Entrance in Maze,Medium,378.4K,177.5K,46.9%,2.4K,64,"array, breadth-first-search, matrix"
1927. Sum Game,Medium,26.6K,12.7K,47.9%,505,7,"math, string, greedy, game-theory"
1928. Minimum Cost to Reach Destination in Time,Hard,55.1K,21.5K,39.0%,800,6,"array, dynamic-programming, graph"
1929. Concatenation of Array,Easy,977.1K,881.1K,90.2%,3.4K,114,"array, simulation"
1930. Unique Length-3 Palindromic Subsequences,Medium,166.4K,110K,66.1%,1.7K,63,"hash-table, string, bit-manipulation, prefix-sum"
1931. Painting a Grid With Three Different Colors,Hard,17.4K,10.1K,58.1%,482,5,dynamic-programming
1932. Merge BSTs to Create Single BST,Hard,26.5K,9.7K,36.5%,586,7,"hash-table, binary-search, tree, depth-first-search, binary-tree"
1934. Confirmation Rate,Medium,475.7K,284.7K,59.9%,987,133,database
1935. Maximum Number of Words You Can Type,Easy,88.5K,65.4K,73.9%,599,6,"hash-table, string"
1936. Add Minimum Number of Rungs,Medium,69.7K,30K,43.1%,380,4,"array, greedy"
1937. Maximum Number of Points with Cost,Medium,337.3K,144.7K,42.9%,3.1K,170,"array, dynamic-programming, matrix"
1938. Maximum Genetic Difference Query,Hard,13.9K,6K,43.1%,389,3,"array, hash-table, bit-manipulation, depth-first-search, trie"
1941. Check if All Characters Have Equal Number of Occurrences,Easy,137.8K,107.6K,78.1%,906,12,"hash-table, string, counting"
1942. The Number of the Smallest Unoccupied Chair,Medium,191K,116.5K,61.0%,1.4K,138,"array, hash-table, heap-priority-queue"
1943. Describe the Painting,Medium,27.8K,14K,50.5%,485,9,"array, hash-table, sorting, prefix-sum"
1944. Number of Visible People in a Queue,Hard,91.4K,64K,70.0%,1.8K,37,"array, stack, monotonic-stack"
